Class,Images,Instances,Box_P,Box_R,Box_mAP50,Box_mAP50_95,Mask_P,Mask_R,Mask_mAP50,Mask_mAP50_95
all,1611,6143,0.628,0.447,0.484,0.34,0.546,0.451,0.437,0.279
a105_face_all,909,1804,0.882,0.795,0.854,0.65,0.85,0.822,0.851,0.604
a108_license_plate_all,84,138,0.752,0.471,0.509,0.348,0.709,0.493,0.516,0.295
a109_person_body,1108,3192,0.807,0.621,0.711,0.526,0.683,0.599,0.622,0.372
a110_nudity_all,114,268,0.542,0.274,0.295,0.174,0.453,0.295,0.284,0.163
a26_handwriting,104,482,0.581,0.251,0.336,0.214,0.483,0.299,0.305,0.18
a39_disability_physical,13,40,0.407,0.2,0.162,0.0677,0.433,0.249,0.165,0.0711
a43_medicine,16,121,0.543,0.264,0.279,0.179,0.489,0.285,0.284,0.164
a7_fingerprint,7,11,0.583,0.909,0.867,0.715,0.345,0.727,0.62,0.542
a8_signature,53,87,0.558,0.241,0.346,0.185,0.469,0.287,0.287,0.125
